submitted_sample_name	laboratory_sample_name	Site	geo_loc_name	sampling_date	sampling_operator	extraction_operator	User_name	Date_and_Time	Nucleic_Acid_Conc	Unit_Conc	A260	A280	X260.280	X260.230	Tecan	Unit_Tecan	land_use	wheat_straw_amendment	time	Unit_time	subplot
CA_D000_2	C4-R-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:23	33,2	ng/µl	0,664	0,384	1,73	0,55	20,8	ng/µl	Cropland	Amended	0	day	4
CA_D003_2	C4-R-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:07	29,5	ng/µl	0,589	0,362	1,63	0,82	17,3	ng/µl	Cropland	Amended	3	day	4
CA_D051_2	C4-R-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:32	44,5	ng/µl	0,89	0,522	1,7	1,44	30,9	ng/µl	Cropland	Amended	51	day	4
CA_D125_2	C4-R-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:49	38,4	ng/µl	0,768	0,462	1,66	1,37	27,1	ng/µl	Cropland	Amended	125	day	4
CC_D000_3	C5-C-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:47	38	ng/µl	0,76	0,454	1,67	1,13	19,7	ng/µl	Cropland	Control	0	day	5
CC_D003_3	C5-C-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:12	28,8	ng/µl	0,576	0,351	1,64	0,63	15,1	ng/µl	Cropland	Control	3	day	5
CC_D051_3	C5-C-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:35	36,6	ng/µl	0,731	0,439	1,66	1,23	23,6	ng/µl	Cropland	Control	51	day	5
CC_D125_3	C5-C-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:16	30,3	ng/µl	0,606	0,358	1,69	0,57	22,8	ng/µl	Cropland	Control	125	day	5
CA_D000_3	C6-R-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:18	28,7	ng/µl	0,574	0,349	1,65	0,85	18,8	ng/µl	Cropland	Amended	0	day	6
CA_D003_3	C6-R-T1	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:41	29,4	ng/µl	0,587	0,354	1,66	1,47	17,5	ng/µl	Cropland	Amended	3	day	6
CA_D051_3	C6-R-T4	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:44	40,4	ng/µl	0,808	0,472	1,71	1,12	30,3	ng/µl	Cropland	Amended	51	day	6
CA_D125_3	C6-R-T6	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:14	28,9	ng/µl	0,578	0,352	1,64	0,54	19,4	ng/µl	Cropland	Amended	125	day	6
GC_D000_1	P1-C-T0	FONCTIOMIC-TERRAIN-LUSIGNAN	France: Lusignan	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:26	39,5	ng/µl	0,791	0,47	1,68	1,06	28,6	ng/µl	Grassland	Control	0	day	1
