pathway	C1-C-T0	C1-C-T1	C1-C-T4	C1-C-T6	C2-R-T0	C2-R-T1	C2-R-T4	C2-R-T6	C3-C-T0	C3-C-T1	C3-C-T4	C3-C-T6	C4-R-T0	C4-R-T1	C4-R-T4	C4-R-T6	C5-C-T0	C5-C-T1	C5-C-T4	C5-C-T6	C6-R-T0	C6-R-T1	C6-R-T4	C6-R-T6	P1-C-T0	P1-C-T1	P1-C-T4	P1-C-T6	P2-R-T0	P2-R-T1	P2-R-T4	P2-R-T6	P3-C-T0	P3-C-T1	P3-C-T4	P3-C-T6	P4-R-T0	P4-R-T1	P4-R-T4	P4-R-T6	P5-C-T0	P5-C-T1	P5-C-T4	P5-C-T6	P6-R-T0	P6-R-T1	P6-R-T4	P6-R-T6
ASPASN-PWY	4643.61484110947	5994.687606016484	5831.352614167636	5609.029187708652	4202.541971145561	4250.01415006853	4113.380547412312	4616.1126732643015	4482.878758370133	3963.906089961806	4421.137938082263	4536.999294977797	4624.465390762555	4425.557275346255	4647.13641814445	5114.8906155964605	5879.657577640462	4844.2866419999045	4113.520533549962	4790.101266962581	5473.813861030753	5694.441888723946	4809.409818307155	4480.1521224384205	4928.176013896471	4291.010330981461	5827.832762318857	5161.051830414534	5117.357730758549	4668.881329138864	5666.490875428881	4701.8504647307855	4591.881118922186	4192.441250620853	3653.9562910560567	3997.0244270338803	4658.704128678795	3129.770025209779	3644.091733854391	4580.1152658994615	3912.165878291755	4171.623866291564	4608.189537331131	4958.960417502658	4527.487806432322	5930.553761140239	4218.536444554176	4715.405466661814
AST-PWY	475.2209780724611	638.3498050375833	623.5865902844453	571.5149414707853	459.7979121015681	567.4203909736706	529.474668336703	574.7874515300617	555.3801705342771	414.2482267049024	515.8279861162724	452.49136292355854	480.1798328087607	603.8667193353285	599.3779695743094	557.2362423891377	643.8631401337622	526.7007760555408	407.9714294504982	519.4471868072259	547.5346359219219	735.0616092638154	624.1191400048142	505.4068326390368	653.503196430111	570.2447703410386	748.9729163852265	662.3518059777346	773.3189871151576	729.7638879050106	785.9292417227565	653.9836203724092	703.3989175745965	600.039393413078	576.5966056111802	505.12665270549303	642.4997461465863	466.53016965216256	613.0510599032513	675.9213029368494	570.2075311701085	549.7501094519292	532.3225038705517	582.7527285167854	642.1739240639729	872.6768353836037	699.7243104905986	750.9833546706673
BIOTIN-BIOSYNTHESIS-PWY	2454.9733865265493	3293.6794265196863	3001.1544432290925	3073.2776687503115	2312.5618924016203	2491.9977862399405	2265.7287856947896	2588.180329348894	2473.393743897726	2146.4805962245064	2492.9880092098815	2235.7310243942998	2503.3793224805618	2485.641276693605	2740.935614931064	3010.6673357219142	3158.8262269975703	2696.315835145068	2258.8419700686372	2435.6962660802474	2941.791256068561	3218.706432784607	2915.5644080932166	2576.5798794195666	3234.9928687210268	2493.4157718157385	3641.3435879199333	3297.4681150648507	3271.9510515843135	3101.020266204592	3488.911171329168	2755.1089075174623	2988.650795057679	2817.4301472314983	2482.594805260292	2464.9189108586793	3010.5441009882566	1960.886714838495	2559.0913015674923	3144.6469478156937	2475.133785887529	2635.2058239652524	3017.8756812776032	3129.404677397444	3026.584707214695	3709.396436567534	3009.682920783393	3263.5440608929252
BRANCHED-CHAIN-AA-SYN-PWY	11355.223265225524	14131.600234524216	13168.78538049704	12562.840962267164	10364.375494231675	10712.317457105404	9785.868276286747	11098.734076659517	11284.85013496814	9443.527646679086	10146.748753314458	10094.858473345615	10742.499370189524	11182.93809328504	11559.806599329737	12233.895121696114	13235.54439929908	11519.219374061837	9673.09152742319	11001.694386069057	12919.564575903803	13736.100267556094	11482.201335760865	11155.28320435705	12942.393360689652	11027.43715594323	15075.283263687268	13214.261344114957	13063.579823294489	13225.06227235304	14558.801235306515	11726.808425714742	12386.477144445878	11309.649358757602	9893.959844969158	10044.481656696684	12458.818011701558	8802.953560240916	10089.027712623352	11856.836096236246	10072.537233007799	11141.392312157885	11967.420116647561	12664.278959034806	12195.190883884763	15166.17661428589	11629.155351484484	12962.362916155984
CALVIN-PWY	6041.101728138537	7266.025715839075	6874.7752080138725	6797.52221381592	5528.470427557795	5712.722292063498	5126.635946522019	5970.259566508752	6002.550589909962	4905.8870294356475	5503.547093869979	5268.891720538257	5797.753729870095	5735.91542494075	6160.545153641281	6398.844916657145	7142.790274483871	6116.164414185574	5153.305877799212	5920.726638332032	6765.163440257971	7048.640049490368	6079.281399126342	5679.783454021122	6508.126667985866	5695.365748431997	7515.968060720978	6952.973899037973	6445.846885431455	6416.129508682394	7069.401812439673	5800.0008080708885	6375.338641949164	5836.6349497823	4815.220668553026	4930.975294882733	6310.084392759609	4099.598320178488	4874.305305717987	5761.798850904494	5047.6867705029	5590.859756141905	6200.783648006835	6635.171530904334	6138.627514870496	7406.978997114413	5790.271661367743	6512.02624377058
CATECHOL-ORTHO-CLEAVAGE-PWY	386.33882246785475	516.8274008043331	507.57482823225035	469.4844384859523	372.63211777954814	443.97932638697205	331.36259499249246	379.15731463411987	345.55574633698063	354.76900832230075	393.2008671038898	399.4950364087718	393.54940972188535	417.78446643505174	425.5993547386493	465.97872362625606	586.5121848369292	429.33721611408083	366.2029424060839	414.11274985313287	486.44531647804035	525.2307864962144	416.79937745489616	414.9201251201753	347.26042715804766	328.5072710923692	455.81571551589764	375.39574426331217	376.8235166274287	479.39894093213485	437.03676579323553	379.6848625291151	299.39556072685826	305.0155569816627	338.5108551717902	314.2775509043205	357.8783056550996	278.4245988963117	305.3218627254349	318.6310643616917	293.77399428084766	303.8026893523601	363.4624317433446	436.8300830892948	317.4827814310762	551.0240149873651	342.52464765479823	391.36740685557555
CENTBENZCOA-PWY	428.6207088560605	644.6549976853995	564.7022009901659	559.77741796353	396.7942678011644	402.237740129325	470.436259238898	378.07339626276246	389.89157512696266	355.0982797658244	427.6554660220987	402.7437663737794	476.3163008255732	390.53528133121455	418.5923903287068	487.0576248696805	554.7040933276135	486.4548381959047	384.9240437981527	494.9572351078073	511.0223630830006	509.8202742405577	425.17335233463274	468.7320046709426	291.6233034036333	258.27934642087155	348.19999131318934	278.4326210089273	259.9187512458658	285.823831534451	384.27275836366033	284.29477378812396	271.2718283552086	247.74326941062722	202.69007785323836	217.12319436560983	280.9398829579713	181.42309905972516	242.1908104891113	293.20550355728824	172.33969549597987	214.60621424794692	296.6406233091657	329.73163914598234	304.03273577552613	363.83638270597834	260.4528301886793	275.7157145714857
CENTFERM-PWY	141.2557496790049	233.12779612337272	259.80736388339625	209.3228244427149	134.248829154893	361.73531439534753	244.24838960333756	251.43288067845006	188.38766580579974	174.47710305965145	198.33291886962363	231.49912031978263	238.3164795791569	287.22110842536284	294.5713561799412	282.42584049741055	195.95292064857472	208.70972719701552	161.0548546677149	215.4152310099516	282.67464495690473	222.56300827902112	330.2752279438415	268.28518027156844	481.27034404388075	354.98432165827165	469.2253905361974	409.4486379527585	333.8765398477117	483.9315415261433	472.5166403804376	467.25230183378545	497.0567385735715	428.15622666540395	243.0861013421938	347.5000099040072	342.89525813964383	260.79014018376097	330.07337883420945	467.77550926593716	294.80247253280703	276.6993441231923	407.58685929503184	523.0018609895855	441.30913481358283	513.9607612568033	355.0395028842953	550.9412763529854
COA-PWY	578.754546223941	930.9125206476608	722.3475038358739	740.7347029293626	546.4081445613139	496.99957738560636	598.0478841892939	647.2967538515968	605.6684375861443	501.7400772416361	649.3225525502647	484.8185495540609	628.599984746246	560.8711482154985	567.9630521781148	571.1778616513443	891.0842988739803	675.9419195305449	517.8116946147398	594.9941754858214	710.6226840166322	709.41675893207	598.0603272056395	592.5959673210735	846.8111217641418	681.5068556765478	969.2445225357714	808.784084114939	847.751236288191	726.2914242224693	829.5280280053214	657.0315640769948	732.6277454830638	650.410352273948	636.3934814148903	545.1439867105079	702.1778954788809	471.4590845713473	593.7473084584215	678.7225499187779	609.7605735197232	641.011095123324	661.5532855200066	704.3234102153586	742.5768795127609	878.0989512948204	690.8163194185053	655.5775677097706
COBALSYN-PWY	966.9409923265131	1150.4328713544633	1108.301039251242	1136.0201971627191	902.6056968814936	934.4793867314305	830.5873859454761	908.5447199653621	896.6135110315307	782.4070724907496	886.9423198068457	841.4614792179989	982.5986714495311	1003.8442072347976	991.9616226644839	1062.531675785078	1221.890454206751	960.477973101794	844.2308946768304	922.2136197911527	1213.4504086872814	1234.6346800754188	986.7546728740523	958.1510900704134	1039.1434914614708	845.3875589070263	1200.6496462303287	1147.0988774604416	1019.5938731956602	1091.4244934531885	1145.0889242498974	928.1407427770149	1002.6541562991449	926.2572277283937	774.6042958276167	854.3015415036309	1069.5810001189866	750.989899709394	776.7937533073009	875.76072646437	749.4469294443265	852.4635350620244	989.9567966583119	1148.8319551380087	1055.9009739442326	1201.4815684148077	891.3843629421447	995.7273742949528
COLANSYN-PWY	2635.972110803648	2797.1196526712574	2630.1270561931938	2683.2011570893983	2370.6144998883674	2782.421618709324	2086.4895366947676	2472.774010738588	2865.0538288801054	2001.442190799057	1957.4402859444076	1883.8488026216976	2328.2761459316907	2960.688428801483	2937.6504623325504	2761.762781190084	2695.2802945268263	2367.6222142252986	2211.4012499603073	2416.485401372982	2587.590619656884	3416.7767062318385	2398.817970288344	2477.982363043814	3593.526516378066	2465.1684727633246	3582.4873281683585	3238.1663663065983	3344.137692179985	3768.9447098145715	3511.4293855806814	2495.787713088746	3419.724541349064	2769.732715947551	2435.432107321345	2130.4983819041386	3239.4057965406655	2410.1851856032454	2370.6415504298384	2744.7372847500824	2317.4505209870126	2830.2199425594126	2699.491146099858	2845.9124706358343	2928.71634948941	3904.138659774312	3007.888118121034	3210.327199093105
