project,platform,measurements_avail,scale,subsampling_16S,subsampling_18S,sample,site,bloc,modality,plot,campagne,id-ech,concentration_matrice_adn_ng_µl
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T1,Lusignan,crops,residues,4,1,22,127232799105244
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T1,Lusignan,crops,control,5,1,23,135230641715193
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P1-C-T5,Lusignan,grasslands,control,1,5,61,257311731802307
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P3-C-T3,Lusignan,grasslands,control,3,3,39,159725101143335
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C1-C-T5,Lusignan,crops,control,1,5,67,103801500431175
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P1-C-T9,Lusignan,grasslands,control,1,9,109,181645622574383
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C1-C-T9,Lusignan,crops,control,1,9,115,123809773229798
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T12,Lusignan,grasslands,control,5,12,149,125953168918307
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T3,Lusignan,grasslands,residues,2,3,38,191626558509805
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P3-C-T6,Lusignan,grasslands,control,3,6,75,131294095545855
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C1-C-T6,Lusignan,crops,control,1,6,79,125872752317922
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T6,Lusignan,crops,residues,6,6,84,778200910182567
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T1,Lusignan,grasslands,residues,2,1,14,115004747806645
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P4-R-T12,Lusignan,grasslands,residues,4,12,148,137042940510101
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T2,Lusignan,grasslands,control,5,2,29,148212908903602
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P6-R-T2,Lusignan,grasslands,residues,6,2,30,199391232629936
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T3,Lusignan,crops,residues,2,3,44,20843447622642
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C3-C-T1,Lusignan,crops,control,3,1,21,134651793053777
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T4,Lusignan,grasslands,control,5,4,53,176486385746872
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T4,Lusignan,crops,residues,2,4,56,212642114180169
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T5,Lusignan,crops,residues,4,5,70,140017186006302
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T9,Lusignan,crops,residues,4,9,118,156373381151448
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T6,Lusignan,crops,control,5,6,83,853610240038693
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C1-C-T0,Lusignan,crops,control,1,0,7,119306463863417
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P6-R-T8,Lusignan,grasslands,residues,6,8,102,168322116651722
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T4,Lusignan,crops,residues,6,4,60,105238188822817
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T12,Lusignan,crops,residues,4,12,154,891616303856501
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C3-C-T2,Lusignan,crops,control,3,2,33,121877802950694
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C1-C-T3,Lusignan,crops,control,1,3,43,122030862920404
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T4,Lusignan,grasslands,residues,2,4,50,198362022156322
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T9,Lusignan,crops,residues,6,9,120,881190517552005
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T8,Lusignan,crops,residues,2,8,104,111510536741815
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T2,Lusignan,crops,residues,2,2,32,168796491661336
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T2,Lusignan,crops,residues,6,2,36,120795577886368
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T4,Lusignan,crops,residues,4,4,58,18127401217632
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C4-R-T6,Lusignan,crops,residues,4,6,82,132862612301565
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P5-C-T1,Lusignan,grasslands,control,5,1,17,176123951111721
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T12,Lusignan,crops,residues,6,12,156,914833820366368
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C5-C-T4,Lusignan,crops,control,5,4,59,129556386372855
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P6-R-T6,Lusignan,grasslands,residues,6,6,78,132015477520293
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P2-R-T9,Lusignan,grasslands,residues,2,9,110,173625124404503
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C6-R-T5,Lusignan,crops,residues,6,5,72,179558821239068
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P1-C-T1,Lusignan,grasslands,control,1,1,13,202451823989838
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P1-C-T0,Lusignan,grasslands,control,1,0,1,226554405306338
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,C2-R-T12,Lusignan,crops,residues,2,12,152,139145386331794
3_dimimos_terrain,R454,FALSE,landscape,4000,5000,P3-C-T5,Lusignan,grasslands,control,3,5,63,143289952706051
