Site	sampling_date	sampling_operator	extraction_operator	User.name	Date.and.Time	Nucleic.Acid.Conc.	Unit	A260	A280	X260.280	X260.230	Tecan	Unit.1	land_use	wheat_straw_amendment	time	subplot	Category	Kinetic	Dynamic	Treatment	color	sample_id
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:12:18	28,8	ng/µl	0,576	0,351	1,64	0,63	15,1	ng/µl	Cropland	Control	3	5	Control Cropland	Cropland_3	Control_3	Control_5	#f2e0bd	C5-C-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:35:24	36,6	ng/µl	0,731	0,439	1,66	1,23	23,6	ng/µl	Cropland	Control	51	5	Control Cropland	Cropland_51	Control_51	Control_5	#f2e0bd	C5-C-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:16:51	30,3	ng/µl	0,606	0,358	1,69	0,57	22,8	ng/µl	Cropland	Control	125	5	Control Cropland	Cropland_125	Control_125	Control_5	#f2e0bd	C5-C-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:18:10	28,7	ng/µl	0,574	0,349	1,65	0,85	18,8	ng/µl	Cropland	Amended	0	6	Amended Cropland	Cropland_0	Amended_0	Amended_6	#fbbb3f	C6-R-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:41:04	29,4	ng/µl	0,587	0,354	1,66	1,47	17,5	ng/µl	Cropland	Amended	3	6	Amended Cropland	Cropland_3	Amended_3	Amended_6	#fbbb3f	C6-R-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:44:32	40,4	ng/µl	0,808	0,472	1,71	1,12	30,3	ng/µl	Cropland	Amended	51	6	Amended Cropland	Cropland_51	Amended_51	Amended_6	#fbbb3f	C6-R-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:14:45	28,9	ng/µl	0,578	0,352	1,64	0,54	19,4	ng/µl	Cropland	Amended	125	6	Amended Cropland	Cropland_125	Amended_125	Amended_6	#fbbb3f	C6-R-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:26:15	39,5	ng/µl	0,791	0,47	1,68	1,06	28,6	ng/µl	Grassland	Control	0	1	Control Grassland	Grassland_0	Control_0	Control_1	#b2d9b2	P1-C-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:51:00	26,5	ng/µl	0,531	0,324	1,64	1,38	16,6	ng/µl	Grassland	Control	3	1	Control Grassland	Grassland_3	Control_3	Control_1	#b2d9b2	P1-C-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:13:35	28,7	ng/µl	0,574	0,349	1,64	0,48	19,8	ng/µl	Grassland	Control	51	1	Control Grassland	Grassland_51	Control_51	Control_1	#b2d9b2	P1-C-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:34:15	30,9	ng/µl	0,618	0,372	1,66	1,17	20,1	ng/µl	Grassland	Control	125	1	Control Grassland	Grassland_125	Control_125	Control_1	#b2d9b2	P1-C-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:39:14	36,6	ng/µl	0,732	0,429	1,71	1,56	22	ng/µl	Grassland	Amended	0	2	Amended Grassland	Grassland_0	Amended_0	Amended_2	#2abf2a	P2-R-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:06:38	31,3	ng/µl	0,626	0,373	1,68	0,78	19,2	ng/µl	Grassland	Amended	3	2	Amended Grassland	Grassland_3	Amended_3	Amended_2	#2abf2a	P2-R-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:10:06	22,4	ng/µl	0,448	0,27	1,66	0,63	12	ng/µl	Grassland	Amended	51	2	Amended Grassland	Grassland_51	Amended_51	Amended_2	#2abf2a	P2-R-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:56:39	40,6	ng/µl	0,812	0,481	1,69	1,73	27,1	ng/µl	Grassland	Amended	125	2	Amended Grassland	Grassland_125	Amended_125	Amended_2	#2abf2a	P2-R-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:54:12	35,6	ng/µl	0,711	0,426	1,67	1,44	21,8	ng/µl	Grassland	Control	0	3	Control Grassland	Grassland_0	Control_0	Control_3	#b2d9b2	P3-C-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:54:58	32,8	ng/µl	0,656	0,39	1,68	1,61	20,1	ng/µl	Grassland	Control	3	3	Control Grassland	Grassland_3	Control_3	Control_3	#b2d9b2	P3-C-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:28:04	40,7	ng/µl	0,813	0,464	1,75	0,34	30,5	ng/µl	Grassland	Control	51	3	Control Grassland	Grassland_51	Control_51	Control_3	#b2d9b2	P3-C-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:46:27	41,4	ng/µl	0,829	0,496	1,67	1,48	27,1	ng/µl	Grassland	Control	125	3	Control Grassland	Grassland_125	Control_125	Control_3	#b2d9b2	P3-C-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:20:29	32,8	ng/µl	0,655	0,393	1,67	0,81	21,4	ng/µl	Grassland	Amended	0	4	Amended Grassland	Grassland_0	Amended_0	Amended_4	#2abf2a	P4-R-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:11:06	24,7	ng/µl	0,494	0,314	1,58	0,54	9,73	ng/µl	Grassland	Amended	3	4	Amended Grassland	Grassland_3	Amended_3	Amended_4	#2abf2a	P4-R-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:45:40	43,9	ng/µl	0,878	0,515	1,7	1,53	34,7	ng/µl	Grassland	Amended	51	4	Amended Grassland	Grassland_51	Amended_51	Amended_4	#2abf2a	P4-R-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:42:48	33,6	ng/µl	0,671	0,408	1,65	1,04	22,8	ng/µl	Grassland	Amended	125	4	Amended Grassland	Grassland_125	Amended_125	Amended_4	#2abf2a	P4-R-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:53:27	36	ng/µl	0,72	0,429	1,68	1,26	23,6	ng/µl	Grassland	Control	0	5	Control Grassland	Grassland_0	Control_0	Control_5	#b2d9b2	P5-C-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:31:19	37,6	ng/µl	0,751	0,438	1,71	1,64	24,2	ng/µl	Grassland	Control	3	5	Control Grassland	Grassland_3	Control_3	Control_5	#b2d9b2	P5-C-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:48:45	37,7	ng/µl	0,755	0,461	1,64	1,49	23,3	ng/µl	Grassland	Control	51	5	Control Grassland	Grassland_51	Control_51	Control_5	#b2d9b2	P5-C-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:55:47	35	ng/µl	0,699	0,423	1,65	1,12	19,9	ng/µl	Grassland	Control	125	5	Control Grassland	Grassland_125	Control_125	Control_5	#b2d9b2	P5-C-T6
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:37:11	34,2	ng/µl	0,684	0,401	1,7	1,74	21,2	ng/µl	Grassland	Amended	0	6	Amended Grassland	Grassland_0	Amended_0	Amended_6	#2abf2a	P6-R-T0
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:40:08	37,7	ng/µl	0,755	0,449	1,68	1,54	23	ng/µl	Grassland	Amended	3	6	Amended Grassland	Grassland_3	Amended_3	Amended_6	#2abf2a	P6-R-T1
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:38:16	44,7	ng/µl	0,895	0,515	1,74	1,8	31,1	ng/µl	Grassland	Amended	51	6	Amended Grassland	Grassland_51	Amended_51	Amended_6	#2abf2a	P6-R-T4
FONCTIOMIC-TERRAIN-LUSIGNAN	2011	BIOCOM	BIOCOM	Nanodrop	21/03/2019 16:22:04	37,1	ng/µl	0,742	0,431	1,72	0,6	27,4	ng/µl	Grassland	Amended	125	6	Amended Grassland	Grassland_125	Amended_125	Amended_6	#2abf2a	P6-R-T6
