"Superkingdom"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"23"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonCG_4_8_14_3_um_filter_42_8"
"24"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonCG07_land_8_20_14_0_80_47_9"
"25"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonex4484_135"
"26"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonex4484_205"
"27"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonex4484_218"
"28"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonex4484_231"
"29"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonex4484_40"
"30"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonRBG_13_38_9"
"31"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonRBG_13_46_16b"
"32"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonRBG_13_52_12"
"33"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonRBG_13_60_20"
"34"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonRBG_16_48_13"
"35"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeotaarchaeonRBG_16_57_9"
"36"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"miscellaneousCrenarchaeotagroup-15archaeonDG-45"
"37"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"miscellaneousCrenarchaeotagroup-1archaeonSG8-32-1"
"38"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"miscellaneousCrenarchaeotagroup-1archaeonSG8-32-3"
"39"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"miscellaneousCrenarchaeotagroup-6archaeonAD8-1"
"40"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"miscellaneousCrenarchaeotagrouparchaeonSMTZ-80"
"41"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"miscellaneousCrenarchaeotagrouparchaeonSMTZ1-55"
"42"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	""
"43"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"unculturedmarinecrenarchaeoteE37-7F"
"44"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"unculturedmarinecrenarchaeoteE48-1C"
"45"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"unculturedmarinecrenarchaeoteE6-3G"
"46"	"Archaea"	"Archaea"	"CandidatusBathyarchaeota"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"CandidatusBathyarchaeota_UN"	"unculturedmiscellaneousCrenarchaeotagroup"
"47"	"Archaea"	"Archaea"	"CandidatusDiapherotrites"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotritesarchaeon"
"48"	"Archaea"	"Archaea"	"CandidatusDiapherotrites"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotritesarchaeonCG_4_10_14_0_2_um_filter_31_5"
"49"	"Archaea"	"Archaea"	"CandidatusDiapherotrites"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotrites_UN"	"CandidatusDiapherotritesarchaeonCG08_land_8_20_14_0_20_30_16"
