Class_or_Order_or_Family_or_genus	original_Phylum	new_Phylum
Geminiviridae	NA	Cressdnaviricota,
Genomoviridae	NA	Cressdnaviricota, 
Globuloviridae	NA	Viruses_incertae_sedis,
Gromiidae	NA	Endomyxa, 
Guttaviridae	NA	Viruses_incertae_sedis,
Hepadnaviridae	NA	Artverviricota, 
Hepeviridae	NA	Kitrinoviricota,
Heterophryidae	NA	Haptista_incertae_sedis, 
Histionidae	NA	Discoba_incertae_sedis,
Hypoviridae	NA	Pisuviricota,
Hytrosaviridae	NA	Viruses_incertae_sedis,
Inoviridae	NA	Hofneiviricota, 
Jakobidae	NA	Discoba_incertae_sedis,
Lavidaviridae	NA	Preplasmiviricota, 
Leviviridae	NA	Lenarviricota, 
Luteoviridae	NA	Kitrinoviricota,
Malawimonadidae	NA	Eukaryota_incertae_sedis,
Mantamonadidae	NA	Eukaryota_incertae_sedis,
Marseilleviridae	NA	Nucleocytoviricota, 
Mastigamoebidae	NA	Evosea,
Megabirnaviridae	NA	Duplornaviricota, 
Microviridae	NA	Phixviricota, 
Mikrocytiidae	NA	Endomyxa, 
Nanoviridae	NA	Cressdnaviricota,
Narnaviridae	NA	Lenarviricota, 
Nimaviridae	NA	Viruses_incertae_sedis,
Nodaviridae	NA	Kitrinoviricota,
Nudiviridae	NA	Viruses_incertae_sedis,
Papillomaviridae	NA	Cossaviricota, 
Paramoebidae	NA	Discosea, 
Partitiviridae	NA	Pisuviricota, 
Parvoviridae	NA	Cossaviricota,
Pelomyxidae	NA	Evosea, 
Permutotetraviridae	NA	Orthornavirae_incertae_sedis, 
Phycodnaviridae	NA	Nucleocytoviricota,
Picobirnaviridae	NA	Pisuviricota, 
Pithoviridae	NA	Viruses_incertae_sedis, 
Planomonadidae	NA	Eukaryota_incertae_sedis,
Plasmaviridae	NA	Viruses_incertae_sedis, 
Pleolipoviridae	NA	Saleviricota, 
Polydnaviridae	NA	Viruses_incertae_sedis, 
Polyomaviridae	NA	Cossaviricota,
Portogloboviridae	NA	Viruses_incertae_sedis, 
Potyviridae	NA	Pisuviricota, 
Poxviridae	NA	Nucleocytoviricota, 
Quadriviridae	NA	Duplornaviricota,
Raphidiophryidae	NA	Haptista_incertae_sedis, 
Reoviridae	NA	Duplornaviricota,
Retortamonadidae	NA	Fornicata, 
Rzehakinidae	NA	Foraminifera,
Smacoviridae	NA	Cressdnaviricota, 
Solinviviridae	NA	Pisuviricota, 
Spiraviridae	NA	Viruses_incertae_sedis, 
Tolecusatellitidae	NA	Viruses_incertae_sedis, 
Tsukubamonadidae	NA	Discoba_incertae_sedis, 
Vannellidae	NA	Discosea, 
Vexilliferidae	NA	Discosea
Acavomonas	NA	Alveolata_incertae_sedis, 
Acramoeba	NA	Evosea, 
Allogromia	NA	Foraminifera, 
Andalucia	NA	Discoba_incertae_sedis, 
Blastocystis	NA	Stramenopiles_incertae_sedis,
Blunervirus	NA	Blunervirus, 
Botybirnavirus	NA	Orthornavirae_incertae_sedis, 
Breviata	NA	Eukaryota_incertae_sedis, 
CandidatusAegiribacteria	NA	Bacteria_candidate_phyla,
CandidatusModuliflexus	NA	Candidatus_Moduliflexota,
CandidatusVecturithrix	NA	Candidatus_Moduliflexota,
Carpediemonas	NA	Fornicata,
Chrysoparadoxa	NA	Stramenopiles_incertae_sedis,
Cilevirus	NA	Kitrinoviricota, 
Clautriavia	NA	Cercozoa, 
Copromyxa	NA	Tubulinea,
Corallomyxa	NA	Amoebozoa_incertae_sedis, 
Cryptocaryon	NA	Ciliophora, 
Decastava	NA	Euglenozoa, 
Deltavirus	NA	Viruses_incertae_sedis,
Dinodnavirus	NA	Viruses_incertae_sedis,
Dysnectes	NA	Fornicata, 
Endostelium	NA	Discosea, 
